title,director,genre,rating,year,comments
Major,Sashi Kiran Tikka,Action/Drama,8.0,2022,"Biographical war drama based on Major Sandeep Unnikrishnan"
DJ Tillu,Vimal Krishna,Crime/Comedy,7.6,2022,"Dark comedy with unique narrative style"
F3,V.V. Vinayak,Comedy,7.0,2022,"Entertaining comedy sequel with Venkatesh and Varun Tej"
Radhe Shyam,K.K. Radhakrishna,Romance/Drama,6.8,2022,"Period romantic drama with Prabhas"
Bheemla Nayak,Saagar K Chandra,Action/Drama,7.3,2022,"Power-packed action drama with Pawan Kalyan"
Acharya,Koratala Siva,Action/Drama,6.9,2022,"Social drama with Chiranjeevi and Ram Charan"
Karthikeya 2,Chandoo Mondeti,Adventure/Mystery,7.8,2022,"Mystery thriller with mythological elements"
Godfather,Mohan Raja,Action/Drama,7.2,2022,"Political drama with Chiranjeevi"
Virupaksha,Karthik Varma Dandu,Horror/Thriller,7.7,2023,"Supernatural horror thriller"
Das Ka Dhamki,Vishwak Sen,Action/Comedy,7.0,2023,"Entertaining action comedy"
Macherla Niyojakavargam,Sai Rajesh,Drama,7.5,2023,"Social drama with unique narrative"
Bro,Samuthirakani,Action/Drama,6.8,2023,"Action drama with Pawan Kalyan"
Extra Ordinary Man,Srikanth Odela,Action/Comedy,7.1,2023,"Entertaining action comedy"
Hi Nanna,Shouryuv,Family/Drama,7.9,2023,"Heartwarming family drama"
Guntur Kaaram,Trivikram Srinivas,Action/Drama,7.3,2024,"Mass entertainer with Mahesh Babu"
Game Changer,Shankar,Action/Drama,7.5,2024,"Political thriller with Ram Charan"
Okkadu,Gunasekhar,Action/Romance,8.2,2003,"Classic action romance that redefined Telugu cinema"
Pokiri,Puri Jagannadh,Action/Crime,8.1,2006,"Mass action entertainer with Mahesh Babu"
Arya,Sukumar,Romance/Drama,7.9,2004,"Youthful romantic drama with Allu Arjun"
Athadu,Trivikram Srinivas,Action/Thriller,8.0,2005,"Action thriller with Mahesh Babu"
Bommarillu,Bhaskar,Romance/Drama,8.3,2006,"Heartwarming family drama with Genelia"
Vedam,Radhakrishna Jagarlamudi,Drama,8.4,2010,"Multi-narrative social drama"
Maryada Ramanna,S.S. Rajamouli,Action/Comedy,7.8,2010,"Entertaining action comedy"
Gabbar Singh,Harish Shankar,Action/Comedy,7.7,2012,"Mass entertainer with Pawan Kalyan"
Yevadu,Vamsi Paidipally,Action/Thriller,7.5,2014,"Action thriller with Ram Charan"
Nannaku Prematho,Sukumar,Action/Drama,7.6,2016,"Emotional action drama with Jr NTR"
Nenu Local,Koratala Siva,Romance/Comedy,7.3,2017,"Youthful romantic comedy"
Nani's Gang Leader,Anil Ravipudi,Action/Comedy,7.4,2019,"Entertaining action comedy"
Ala Modalaindi,Nandini Reddy,Romance/Comedy,7.8,2011,"Fresh romantic comedy"
Pelli Choopulu,Tharun Bhascker,Romance/Comedy,8.0,2016,"Modern romantic comedy"
Arjun Reddy,Sandeep Reddy Vanga,Romance/Drama,7.6,2017,"Intense love story"
C/o Kancharapalem,Venu Udugula,Drama,8.5,2018,"Realistic social drama"
Mallesham,Nag Ashwin,Biography/Drama,8.2,2019,"Biographical drama about handloom innovation"
Jathi Ratnalu,Anudeep KV,Comedy,7.9,2021,"Hilarious comedy with unique characters"
Shyam Singha Roy,Rahul Sankrityan,Period/Drama,7.8,2021,"Period drama with supernatural elements"
Krack,Gopichand Malineni,Action/Thriller,7.4,2021,"Action thriller with Ravi Teja's powerful performance"
Uppena,Buchi Babu Sana,Romance/Drama,7.3,2021,"Love story with beautiful cinematography"
Colour Photo,Sandeep Raj,Social/Drama,7.7,2020,"Social drama addressing color discrimination"
V,Venkatesh Maha,Action/Thriller,7.2,2020,"Action thriller with Nani"
Gang Leader,Koratala Siva,Action/Drama,7.1,2019,"Action drama with Nani"
F2,Anil Ravipudi,Comedy,7.3,2019,"Entertaining comedy with Venkatesh and Varun Tej"
Maharshi,Vamshi Paidipally,Action/Drama,7.6,2019,"Social drama with Mahesh Babu"
Salaar,Prasanth Neel,Action/Drama,7.8,2023,"Action-packed drama with Prabhas"
Tillu Square,Mallik Ram,Crime/Comedy,7.5,2024,"Sequel to DJ Tillu with Siddhu Jonnalagadda"
Kalki 2898 AD,Nag Ashwin,Sci-Fi/Action,8.0,2024,"Epic sci-fi with Prabhas and Deepika"
Devara,Koratala Siva,Action/Drama,7.6,2024,"Action drama with Jr NTR"
Pushpa 2: The Rule,Sukumar,Action/Crime,8.2,2024,"Sequel to Pushpa with Allu Arjun"
OG,Puri Jagannadh,Action/Drama,7.4,2024,"Action drama with Pawan Kalyan"
Double iSmart,Puri Jagannadh,Action/Comedy,7.2,2024,"Action comedy with Ram Pothineni"
Ustaad Bhagat Singh,Hari,Action/Drama,7.3,2024,"Action drama with Pawan Kalyan"
Saindhav,Kanmani,Action/Drama,7.5,2024,"Action drama with Venkatesh"
Family Star,Parasuram,Family/Drama,7.4,2024,"Family drama with Vijay Deverakonda"
Guntur Talkies,Anil Ravipudi,Comedy,7.2,2024,"Comedy with Varun Tej"
Krishna and His Leela,Ravikanth Perepu,Romance/Drama,7.8,2020,"Modern love story with Sidhu Jonnalagadda"
HIT: The First Case,Sailesh Kolanu,Crime/Thriller,7.6,2020,"Crime thriller with Vishwak Sen"
HIT: The Second Case,Sailesh Kolanu,Crime/Thriller,7.7,2022,"Sequel to HIT with Adivi Sesh"
Karthikeya,Chandoo Mondeti,Adventure/Mystery,7.5,2014,"Mystery thriller with Nikhil"
Gentleman,Sai Dharam Tej,Action/Comedy,7.2,2016,"Action comedy with Sai Dharam Tej"
Nenu Sailaja,Ram Gopal Varma,Romance/Drama,7.4,2016,"Romantic drama with Naga Chaitanya"
Premam,Chandoo Mondeti,Romance/Drama,7.8,2016,"Romantic drama with Naga Chaitanya"
Srimanthudu,Koratala Siva,Action/Drama,7.7,2015,"Social drama with Mahesh Babu"
Temper,Puri Jagannadh,Action/Drama,7.6,2015,"Action drama with Jr NTR"
Yevade Subramanyam,Nag Ashwin,Adventure/Drama,7.5,2015,"Adventure drama with Nani"
Tholi Prema,Venky Atluri,Romance/Drama,7.9,2018,"Heartwarming love story with Varun Tej's breakthrough performance"
Mr. Majnu,Venky Atluri,Romance/Comedy,7.4,2019,"Modern romantic comedy with Akhil Akkineni"
Most Eligible Bachelor,Venky Atluri,Romance/Comedy,7.6,2021,"Entertaining romantic comedy with Akhil Akkineni"
Don Seenu,Gopichand Malineni,Action/Comedy,7.2,2010,"Entertaining action comedy with Ravi Teja"
Dookudu,Gopichand Malineni,Action/Comedy,7.8,2011,"Mass entertainer with Mahesh Babu"
Racha,Gopichand Malineni,Action/Drama,7.3,2012,"Action drama with Ram Charan"
Balupu,Gopichand Malineni,Action/Comedy,7.5,2013,"Entertaining action comedy with Ravi Teja"
Dictator,Gopichand Malineni,Action/Drama,7.1,2016,"Action drama with Balakrishna"
Amar Akbar Anthony,Gopichand Malineni,Action/Comedy,7.0,2018,"Action comedy with Ravi Teja"
Raja The Great,Gopichand Malineni,Action/Comedy,7.2,2017,"Action comedy with Ravi Tej"
Disco Raja,Gopichand Malineni,Sci-Fi/Action,7.3,2020,"Sci-fi action with Ravi Teja"
Ravanasura,Gopichand Malineni,Action/Thriller,7.1,2023,"Action thriller with Ravi Teja"
Gamyam,Krish Jagarlamudi,Drama,8.2,2008,"Coming-of-age drama with Allari Naresh"
Krishnam Vande Jagadgurum,Krish Jagarlamudi,Action/Drama,7.6,2012,"Action drama with Rana Daggubati"
Gautamiputra Satakarni,Krish Jagarlamudi,Historical/Drama,7.8,2017,"Historical drama with Nandamuri Balakrishna"
Sardar,Krish Jagarlamudi,Action/Drama,7.5,2022,"Action drama with Ravi Teja"
Anand,Sekhar Kammula,Drama,8.1,2004,"Heartwarming drama with Raja"
Godavari,Sekhar Kammula,Romance/Drama,7.9,2006,"Beautiful love story"
Happy Days,Sekhar Kammula,Drama,8.3,2007,"Coming-of-age college drama"
Leader,Sekhar Kammula,Political/Drama,7.7,2010,"Political drama with Rana Daggubati"
Life Is Beautiful,Sekhar Kammula,Drama,7.8,2012,"Family drama"
Fidaa,Sekhar Kammula,Romance/Drama,7.9,2017,"Romantic drama with Varun Tej"
Love Story,Sekhar Kammula,Romance/Drama,7.6,2021,"Modern love story with Naga Chaitanya"
Prema Katha Chitram,Maruthi Dasari,Romance/Comedy,7.5,2013,"Romantic comedy with Naga Shourya"
Bus Stop,Maruthi Dasari,Romance/Comedy,7.3,2014,"Romantic comedy with Naga Shourya"
Mahanubhavudu,Maruthi Dasari,Romance/Comedy,7.6,2017,"Romantic comedy with Sharwanand"
Chi La Sow,Maruthi Dasari,Romance/Comedy,7.4,2018,"Romantic comedy with Sushanth"
Manchi Rojulochaie,Maruthi Dasari,Romance/Comedy,7.1,2020,"Romantic comedy with Naga Shourya"
